week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
G,1,9.19,1,Blue,Top,Bwipo,Fnatic,Gangplank,Elise,Qiyana,Renekton,Vayne,Rakan,35.71666666666667,0,2,4,3,9,21,0,0,0,0,0,0,0,1.8360833333333333,0.05599626691553896,0.08399440037330844,0.8399440037330844,0,12.017816666666667,0,4,0,0,0,0,0,0,0,0,0,NA,0,15.595733333333333,0,0,3,9,0,30.844333333333335,0,1,14814,414.7643490433971,0.2056443216680317,0.2442074687145614,18,0.5039664022398507,0.13138686131386862,5,0.1399906672888474,6,8,NA,NA,14467,274.93271115258983,14683,0.019461541106488327,301,6,4,2,8.59542697153523,3259,3109,150,5531,5300,231,4534,4728,-194,79,82,-3,126,140,-14
G,1,9.19,2,Blue,Jungle,Broxah,Fnatic,Rek'Sai,Elise,Qiyana,Renekton,Vayne,Rakan,35.71666666666667,0,2,5,5,9,21,0,0,0,0,0,0,0,1.8360833333333333,0.05599626691553896,0.11199253383107792,0.8399440037330844,0,12.017816666666667,0,4,0,3,0,0,0,0,0,0,0,NA,0,15.595733333333333,0,0,3,9,0,30.844333333333335,0,1,6184,173.14045730284647,0.08584477421325153,0.13028171816246542,35,0.9799346710219318,0.25547445255474455,10,0.2799813345776948,11,13,NA,NA,9886,146.67326178254783,9450,-0.2759407069555302,18,130,111,2,4.143723751749883,2957,3016,-59,4358,5293,-935,3113,3036,77,57,54,3,84,97,-13
G,1,9.19,3,Blue,Middle,Nemesis,Fnatic,Ryze,Elise,Qiyana,Renekton,Vayne,Rakan,35.71666666666667,0,1,3,4,9,21,0,0,0,0,0,0,0,1.8360833333333333,0.02799813345776948,0.25198320111992534,0.8399440037330844,0,12.017816666666667,0,4,0,1,0,0,0,0,0,0,0,NA,0,15.595733333333333,0,0,3,9,0,30.844333333333335,0,1,17189,481.2599160055996,0.23861349028971224,0.22418777231760936,18,0.5039664022398507,0.13138686131386862,8,0.22398506766215584,8,9,NA,NA,13662,252.3942137190854,13250,-0.21548821548821548,301,26,23,0,9.15538964069062,3347,3772,-425,5277,5839,-562,4682,4686,-4,93,86,7,152,138,14
G,1,9.19,4,Blue,ADC,Rekkles,Fnatic,Garen,Elise,Qiyana,Renekton,Vayne,Rakan,35.71666666666667,0,3,5,5,9,21,1,0,0,0,0,0,1,1.8360833333333333,0.08399440037330844,0.1399906672888474,0.8399440037330844,0,12.017816666666667,0,4,0,0,0,0,0,0,0,0,0,NA,0,15.595733333333333,0,0,3,9,0,30.844333333333335,0,1,7496,209.87400839944002,0.1040576370476283,0.22759485108330182,38,1.0639290713952403,0.2773722627737226,9,0.25198320111992534,9,9,NA,NA,13799,256.22995800279983,13075,-0.1652341694439572,293,4,4,0,8.315445636957536,3230,3363,-133,5085,5473,-388,2897,3271,-374,82,74,8,139,135,4
G,1,9.19,5,Blue,Support,Hylissang,Fnatic,Yuumi,Elise,Qiyana,Renekton,Vayne,Rakan,35.71666666666667,0,1,4,8,9,21,0,0,0,0,0,0,0,1.8360833333333333,0.02799813345776948,0,0.8399440037330844,0,12.017816666666667,0,4,0,0,0,0,0,0,0,0,0,NA,0,15.595733333333333,0,0,3,9,0,30.844333333333335,0,1,26354,737.8628091460569,0.36583977678137625,0.17372818972206194,28,0.7839477368175455,0.20437956204379562,13,0.36397573495100327,5,5,NA,NA,11633,195.58600093327112,11575,0.30062111801242236,95,2,2,0,2.7158189454036394,2611,2113,498,4318,3342,976,2543,2329,214,16,16,0,34,29,5
G,1,9.19,6,Red,Top,Khan,SK Telecom T1,Akali,Pantheon,Twisted Fate,Syndra,Gragas,Sylas,35.71666666666667,1,3,1,8,21,9,0,0,0,0,0,0,0,1.8360833333333333,0.08399440037330844,0.05599626691553896,0.8399440037330844,0,12.017816666666667,4,0,0,0,0,0,0,0,0,0,1,NA,1,15.595733333333333,1,1,9,3,1,30.844333333333335,1,0,15071,421.9598693420438,0.1970194130335316,0.19993376715844552,18,0.5039664022398507,0.14516129032258066,10,0.2799813345776948,7,8,NA,NA,14307,270.4530097993467,14400,-0.019461541106488327,291,26,16,2,8.875408306112925,3109,3259,-150,5300,5531,-231,4728,4534,194,82,79,3,140,126,14
G,1,9.19,7,Red,Jungle,Clid,SK Telecom T1,Lee Sin,Pantheon,Twisted Fate,Syndra,Gragas,Sylas,35.71666666666667,1,4,2,13,21,9,0,0,0,0,0,1,0,1.8360833333333333,0.11199253383107792,0.05599626691553896,0.8399440037330844,1,12.017816666666667,4,0,3,0,0,1,1,1,0,0,1,NA,1,15.595733333333333,1,1,9,3,1,30.844333333333335,1,0,10697,299.4960335977601,0.13983920517680895,0.17791134734157932,24,0.6719552029864675,0.1935483870967742,14,0.39197386840877274,11,12,NA,NA,13243,240.66299580028,12475,0.2759407069555302,27,164,97,3,5.3476434904339705,3016,2957,59,5293,4358,935,3036,3113,-77,54,57,-3,97,84,13
G,1,9.19,8,Red,Middle,Faker,SK Telecom T1,Tristana,Pantheon,Twisted Fate,Syndra,Gragas,Sylas,35.71666666666667,1,9,0,8,21,9,2,0,0,0,1,0,0,1.8360833333333333,0.25198320111992534,0.02799813345776948,0.8399440037330844,0,12.017816666666667,4,0,1,0,0,1,0,0,0,0,1,NA,1,15.595733333333333,1,1,9,3,1,30.844333333333335,1,0,24457,684.7503499766682,0.3197202431531473,0.26157170533008794,18,0.5039664022398507,0.14516129032258066,12,0.33597760149323375,6,6,NA,NA,17285,353.8314512365842,16450,0.21548821548821548,282,36,13,10,8.903406439570695,3772,3347,425,5839,5277,562,4686,4682,4,86,93,-7,138,152,-14
G,1,9.19,9,Red,ADC,Teddy,SK Telecom T1,Kayle,Pantheon,Twisted Fate,Syndra,Gragas,Sylas,35.71666666666667,1,5,2,13,21,9,2,0,0,0,0,1,0,1.8360833333333333,0.1399906672888474,0.08399440037330844,0.8399440037330844,0,12.017816666666667,4,0,0,0,0,0,0,0,0,0,1,NA,1,15.595733333333333,1,1,9,3,1,30.844333333333335,1,0,19590,548.4834344377041,0.25609516961892936,0.251471196993029,16,0.4479701353243117,0.12903225806451613,16,0.4479701353243117,4,4,NA,NA,16797,340.1683621091927,15430,0.1652341694439572,312,16,16,0,9.18338777414839,3363,3230,133,5473,5085,388,3271,2897,374,74,82,-8,135,139,-4
G,1,9.19,10,Red,Support,Effort,SK Telecom T1,Nautilus,Pantheon,Twisted Fate,Syndra,Gragas,Sylas,35.71666666666667,1,0,4,14,21,9,0,0,0,0,0,1,0,1.8360833333333333,0,0.02799813345776948,0.8399440037330844,0,12.017816666666667,4,0,0,0,0,0,0,0,0,0,1,NA,1,15.595733333333333,1,1,9,3,1,30.844333333333335,1,0,6680,187.02753149790013,0.08732596901758286,0.10911198317685825,48,1.343910405972935,0.3870967741935484,8,0.22398506766215584,14,14,NA,NA,9919,147.59720018665422,8550,-0.30062111801242236,70,0,0,0,1.9598693420438635,2113,2611,-498,3342,4318,-976,2329,2543,-214,16,16,0,29,34,-5
